suffix,prev,word,next,sentence
さ,,忙しさ,さに,忙しさに紛れて、ごぶさたしておりました。
み,トを,楽しみ,みに,報告書に関するコメントを楽しみにしています。
さ,儀の,悪さ,にき,母親は息子の行儀の悪さにきまりの悪い思いをした。
さ,りの,厳しさ,さに,母親の怒りの厳しさにびっくりした。
み,派に,悲しみ,みに,母は立派に悲しみに耐えてきた。
さ,理勉,強さ,せた,母は私に無理矢理勉強させた。
さ,夏の,暑さ,が嫌,母は夏の暑さが嫌いです。
さ,体の,重さ,を支,壁が屋根全体の重さを支えていた。
さ,国の,貧しさ,さと,米国の豊かさは発展途上国の貧しさと比較対照される。
さ,均的,長さ,は７,平均的長さは７時間４５分で、人間の多くが必要とする時間と大して変わらない。
さ,けの,明るさ,さだ,物を読めるだけの明るさだ。
み,折の,痛み,はほ,複雑骨折の痛みはほとんど耐え難かった。
さ,,でかさ,さが,風でかさが彼女の手から吹き飛んだ。
さ,使い,古さ,れて,部屋の中の家具はすべて使い古されていた。
さ,屋の,大きさ,さは,部屋の大きさは、これで十分ですか。
み,者は,痛み,でも,負傷者は痛みでもだえ苦しんだ。
み,負け,惜しみ,み。,負け惜しみ。
み,彼は,深み,がな,父親に比べると彼は深みがない。
み,彼は,深み,がな,父親と比べると彼は深みがない。
み,彼は,深み,がな,父親と比べてみると彼は深みがない。
さ,夏の,暑さ,が嫌,父は、夏の暑さが嫌いです。
み,彼は,悲しみ,みに,父が死んで彼は悲しみにしずんだ。
さ,倍の,高さ,です,富士山は六甲山のおよそ四倍の高さです。
さ,ルの,高さ,があ,富士山は３７７６メートルの高さがある。
さ,山の,高さ,はど,富士山の高さはどのくらいですか。
み,女は,悲しみ,みに,夫が死んで彼女は悲しみに沈んだ。
さ,,貧しさ,さの,貧しさのため彼は研究を続けることが出来なかった。
さ,,貧しさ,さの,貧しさのせいで病気になることがしばしばある。
さ,チの,厚さ,だ。,氷は２インチの厚さだ。
さ,湖の,深さ,はど,琵琶湖の深さはどうですか。
さ,,難さ,れる,非難されるべきは君だ。
さ,,難さ,れな,非難されなくてはいけないのは彼だ。
み,,悲しみ,みを,悲しみを忘れなさい。
み,,悲しみ,みの,悲しみの海歓びの波は。
み,,悲しみ,みの,悲しみのあまり彼女は気が狂った。
み,,悲しみ,みの,悲しみのあまり彼女の髪は白くなった。
み,,悲しみ,みの,悲しみのあまり気が動転していた。
み,,悲しみ,みに,悲しみに暮れるその女性は友人たちに慰められた。
み,,悲しみ,みで,悲しみで胸がいっぱいだ。
み,,悲しみ,みが,悲しみが彼の心を満たした。
み,,悲しみ,みが,悲しみが彼の胸に貫いた。
さ,女の,美しさ,さに,彼女らの妬みは彼女の美しさに向けられた。
み,らの,妬み,は彼,彼女らの妬みは彼女の美しさに向けられた。
み,ずに,悲しみ,みに,彼女は涙ひとつこぼさずに悲しみに耐えた。
み,深い,悲しみ,みに,彼女は父の急死を聞いて深い悲しみに満たされた。
さ,女は,美しさ,さを,彼女は美しさを鼻にかけている。
さ,女は,美しさ,さを,彼女は美しさを備えています。
さ,女は,美しさ,さと,彼女は美しさという点では姉はしのいでいる。
さ,は非,難さ,れる,彼女は非難されるようなことをしたのを許してほしいと言った。
み,女は,悲しみ,みを,彼女は悲しみを胸に秘めていた。
み,女は,悲しみ,みを,彼女は悲しみを隠して晩年を送った。
み,女は,悲しみ,みに,彼女は悲しみに暮れた。
さ,女は,悲しさ,さの,彼女は悲しさのあまり涙も出なかった。
さ,女は,悲しさ,さが,彼女は悲しさがあまりにも痛切で涙も出なかった。
さ,彼の,図々しさ,しさ,彼女は彼の図々しさに悩まされていた。
み,彼に,親しみ,みを,彼女は彼に親しみを込めた手紙を書き、彼の援助に感謝した。
み,のを,楽しみ,みに,彼女は彼に再会するのを楽しみに待っている。
み,のを,楽しみ,みに,彼女は彼に再会するのを楽しみにしていた。
み,書に,楽しみ,みを,彼女は読書に楽しみを見いだした。
み,のを,楽しみ,みに,彼女は東北地方に行くのを楽しみにしています。
さ,女は,恥ずかしさ,かし,彼女は恥ずかしさで顔を赤らめた。
さ,女は,大きさ,さが,彼女は大きさが似合わない男性用シャツを着ていた。
み,いに,楽しみ,みに,彼女は息子の将来を大いに楽しみにしている。
み,いて,悲しみ,みの,彼女は息子の事故の知らせを聞いて悲しみのため気も狂わんばかりだった。
さ,性と,美しさ,さに,彼女は生まれながらに知性と美しさに恵まれていた。
み,いは,悲しみ,みを,彼女は笑いは悲しみを隠すうそだった。
さ,女は,暑さ,には,彼女は暑さには弱いんです。
み,りん,ごつみ,みを,彼女は取り入れやりんごつみをみました。
さ,女は,若さ,を十,彼女は若さを十分保っている。
さ,女は,若さ,を十,彼女は若さを十分に持っている。
さ,女は,若さ,と熱,彼女は若さと熱心さのおかげで仕事を得た。
さ,分の,美しさ,さ自,彼女は自分の美しさ自慢する。
さ,分の,美しさ,さを,彼女は自分の美しさを自慢している。
さ,分の,美しさ,さに,彼女は自分の美しさに気づいていない。
さ,分の,美しさ,さが,彼女は自分の美しさが見えていない。
み,ーを,楽しみ,みに,彼女は自分の誕生パーティーを楽しみにしている。
み,分の,苦しみ,みを,彼女は自分の苦しみを誇張して話した。
さ,調が,良さ,そう,彼女は私がこの前会った時より今日の方が体調が良さそうだ。
み,せに,悲しみ,みで,彼女は姉が死んだという知らせに悲しみで胸がいっぱいだった。
さ,子が,良さ,そう,彼女は今日は調子が良さそうだ。
さ,背の,高さ,だ。,彼女は君と同じ背の高さだ。
さ,背の,高さ,だ。,彼女は君とほとんど同じぐらいの背の高さだ。
み,女は,痛み,に苦,彼女は痛みに苦しんでいた。
み,女は,苦しみ,みの,彼女は苦しみのあまり叫び声をあげた。
さ,女は,恐ろしさ,しさ,彼女は恐ろしさのあまり彼に抱きついた。
さ,女は,恐ろしさ,しさ,彼女は恐ろしさで震えていた。
さ,女は,甘さ,加減,彼女は甘さ加減がよいかどうかケーキの味見をした。
さ,女は,寒さ,に震,彼女は寒さに震えた。
さ,女は,寒さ,で震,彼女は寒さで震えていた。
み,ない,楽しみ,みを,彼女は音楽に尽きない楽しみを見出している。
み,何の,楽しみ,みも,彼女は飲食には何の楽しみもなかった。
み,腹に,痛み,を感,彼女はわき腹に痛みを感じた。
み,よく,悲しみ,みに,彼女はよく悲しみに耐えた。
み,のを,楽しみ,みに,彼女はホラー映画を見るのを楽しみにしている。
み,分の,悲しみ,みを,彼女はパーティーで自分の悲しみを見せないようにした。
さ,まで,寒さ,に気,彼女はドアを開けるまで寒さに気付いてなかった。
み,その,痛み,を立,彼女はその痛みを立派に耐えた。
さ,和と,静けさ,さを,彼女はその町の平和と静けさを愛している。
み,の後,痛み,がな,彼女はその後痛みがなくなる事はなかった。
さ,礼儀,正しさ,さも,彼女はごめんなさいというだけの礼儀正しさも持っていなかった。
さ,を非,難さ,れた,彼女はうそをついたことを非難された。
さ,情と,優しさ,さを,彼女は、心に愛情と優しさを込めてお祈りをした。
み,親の,悲しみ,みは,彼女の両親の悲しみは大きかった。
さ,女の,優しさ,さは,彼女の優しさは私にとって良い手本だ。
さ,目の,青さ,が浅,彼女の目の青さが浅黒い肌に浮き出て見える。
さ,その,美しさ,さだ,彼女の魅力はその美しさだけにあるのではない。
さ,女の,美しさ,さは,彼女の美しさは彼をすっかり虜にした。
さ,女の,美しさ,さは,彼女の美しさは姉に優るとも劣らなかった。
さ,女の,美しさ,さは,彼女の美しさは言葉では表現できないほどだった。
さ,女の,美しさ,さは,彼女の美しさは言葉では言い表せないほどだった。
さ,女の,美しさ,さは,彼女の美しさはたとえようもない。
さ,女の,美しさ,さは,彼女の美しさはクラスの中でも目立って見えた。
さ,女の,美しさ,さに,彼女の美しさに魅了されずにいることは不可能だ。
さ,女の,美しさ,さに,彼女の美しさに魅せられて彼は彼女と結婚した。
さ,女の,美しさ,さに,彼女の美しさに太刀打ちできるものはない。
さ,女の,美しさ,さに,彼女の美しさに関しては、疑う余地がない。
さ,女の,美しさ,さが,彼女の美しさが分かるには、彼女を見さえすればよい。
さ,女の,美しさ,さが,彼女の美しさが彼をとりこにしてしまった。
さ,女の,美しさ,さが,彼女の美しさが彼の注意を引いた。
み,女の,悲しみ,みは,彼女の悲しみは無言でこぼす涙になって表れた。
み,女の,悲しみ,みは,彼女の悲しみは見せかけにすぎなかった。
み,女の,悲しみ,みの,彼女の悲しみの原因は彼だった。
み,女の,悲しみ,みに,彼女の悲しみに気づかなかった。
さ,女の,悲しさ,さは,彼女の悲しさはあまりに適切で涙も出なかった。
さ,元の,長さ,まで,彼女の髪は元の長さまで伸びた。
み,で、,面白み,みに,彼女の答えは、優等生的で、面白みに欠けていた。
み,、面,白み,に欠,彼女の答えは、優等生的で、面白みに欠けていた。
み,えて,悲しみ,みに,彼女の怒りが消えて悲しみに変わった。
み,深い,悲しみ,みは,彼女の深い悲しみは涙になって表れた。
さ,顔の,明るさ,さが,彼女の笑顔の明るさがいつも私の気分をよくしてくれる。
さ,手は,寒さ,でひ,彼女の手は寒さでひび割れしている。
み,女の,弱み,に付,彼女の弱みに付け込んで。
み,深い,悲しみ,みを,彼女の死は国民に深い悲しみをもたらした。
さ,儀の,悪さ,を気,彼女の行儀の悪さを気にしたことは無い。
さ,儀の,悪さ,はど,彼女の行儀の悪さはどうしてもがまんできない。
み,顔は,悲しみ,みを,彼女の顔は悲しみをはっきりと表していた。
さ,顔は,誇らしさ,しさ,彼女の顔は誇らしさで赤く上気していた。
み,女の,楽しみ,みは,彼女の楽しみは子どもを教えることにある。
さ,うな,美しさ,さは,彼女のような美しさはまれだ。
さ,ほは,恥ずかしさ,かし,彼女のほほは恥ずかしさで火照った。
さ,しい,美しさ,さを,彼女はすばらしい美しさを持った女性です。
み,のを,楽しみ,みに,彼女とその映画を見るのを楽しみにしています。
さ,たの,美しさ,さが,彼女たちはあなたの美しさがうらやましいと思っています。
み,で、,楽しみ,みが,彼女が来なかったので、楽しみがなくなってしまった。
み,死の,悲しみ,みか,彼女が父親の死の悲しみから立ち直るには長い時間がかかるだろう。
さ,率の,低さ,は医,彼らは幼児の死亡率の低さは医学の進歩のゆえと考えた。
さ,らは,貧しさ,さに,彼らは貧しさに負けなかった。
さ,猛勉,強さ,せら,彼らは先生に猛勉強させられているところだ。
さ,ごを,大きさ,さで,彼らはりんごを大きさで特級別にした。
さ,遠の,若さ,を捜,彼らはずっと永遠の若さを捜し求めている。
み,暇を,楽しみ,みま,彼らはスコットランドで休暇を楽しみましたか。
み,族が,憎み,合っ,彼らはお互いの家族が憎み合っているとわかった。
さ,トの,高さ,の壁,彼らは６フィートの高さの壁を越えなければならなかった。
さ,儀の,悪さ,に全,彼らの行儀の悪さに全く驚いた。
さ,倍の,広さ,があ,彼らの居間は我が家の２倍の広さがある。
さ,チの,厚さ,だっ,彼らが彼に読んでほしいと頼んだマニュアルは２インチの厚さだった。
み,いう,強み,があ,彼は立派な教育を受けたという強みがある。
さ,で非,難さ,れな,彼は約束を破ったことで非難されなければならない。
み,彼は,面白み,みの,彼は面白みのない人だ。
み,は面,白み,のな,彼は面白みのない人だ。
さ,から,はずさ,され,彼は麻薬の使用でチームからはずされた。
さ,彼は,貧しさ,さを,彼は貧しさを私の眼につかないようにした。
み,みで,悲しみ,みを,彼は微笑みで悲しみを隠した。
み,笑で,悲しみ,みを,彼は微笑で悲しみを隠した。
さ,は非,難さ,れて,彼は非難されても堂々としていた。
み,彼は,悲しみ,みに,彼は悲しみにうちひしがれている。
み,彼は,悲しみ,みで,彼は悲しみで気も狂わんばかりだった。
さ,女の,美しさ,さに,彼は彼女の美しさに心を奪われている。
さ,情の,強さ,に圧,彼は彼女の愛情の強さに圧倒された。
さ,背の,高さ,だ。,彼は彼女と同じくらいの背の高さだ。
さ,気の,無さ,に激,彼は彼らのやる気の無さに激怒した。
さ,背の,高さ,であ,彼は彼のお父さんと同じぐらいの背の高さである。
さ,背の,高さ,があ,彼は彼のおとうさんと同じくらいの背の高さがある。
さ,と非,難さ,れた,彼は卑怯者だと非難された。
さ,罪の,大きさ,さを,彼は犯した罪の大きさを悟った。
み,中に,痛み,を感,彼は背中に痛みを感じた。
さ,彼は,熱さ,にが,彼は熱さにがまんできなかった。
さ,識の,深さ,には,彼は日本の歴史に非常に興味を持っており、その知識の深さには驚くばかりである。
さ,んで,重さ,を量,彼は肉を切り刻んで重さを量った。
み,胸の,痛み,に襲,彼は突然胸の痛みに襲われた。
み,くの,楽しみ,みを,彼は読書から多くの楽しみを得た。
さ,彼は,痛さ,でわ,彼は痛さでわめいた。
さ,彼は,恥ずかしさ,かし,彼は恥ずかしさのあまり首を垂れた。
さ,彼は,恥ずかしさ,かし,彼は恥ずかしさに顔を赤らめた。
さ,で非,難さ,れた,彼は脱税で非難された。
み,人の,苦しみ,みに,彼は他人の苦しみに対して淡淡だ。
み,とき,痛み,で叫,彼は足を折ったとき痛みで叫んでいた。
さ,って,重さ,をみ,彼は石を手に持って重さをみた。
さ,彼は,静けさ,さを,彼は静けさを好む。
み,生の,楽しみ,みを,彼は人生の楽しみを知らなかった。
さ,人が,良さ,そう,彼は人が良さそうに見えるが本当は底意地が悪い。
さ,話の,くどさ,さは,彼は親切な男だったが、その話のくどさは人をいらいらさせた。
さ,ない,賢さ,に恵,彼は申し分のない賢さに恵まれている。
さ,しの,強さ,がな,彼は商売で成功するだけの押しの強さがない。
さ,ある,優しさ,さを,彼は女性に魅力的なある優しさを持っていた。
さ,彼は,暑さ,のた,彼は暑さのために食欲がなかった。
さ,彼は,暑さ,に当,彼は暑さに当てられた。
さ,彼は,暑さ,で卒,彼は暑さで卒倒し気を失ってしまったが、奥さんの辛抱強い看病のおかげで正気を取り戻すことができた。
さ,分の,若さ,を過,彼は自分の若さを過信している。
さ,運の,悪さ,のせ,彼は自分の失敗を運の悪さのせいにしている。
さ,背の,高さ,です,彼は私の兄と同じくらいの背の高さです。
さ,背の,高さ,です,彼は私と同じくらいの背の高さです。
さ,いの,大きさ,さだ,彼は私くらいの大きさだ。
さ,は市,長さ,んと,彼は市長さんと握手をした。
さ,使い,古さ,れた,彼は使い古された上衣を着ていた。
み,事と,楽しみ,みを,彼は仕事と楽しみを結び付けている。
み,きな,悲しみ,みを,彼は妻が死んだとき大きな悲しみを感じた。
さ,して,寒さ,を感,彼は決して寒さを感じないようだ。
み,彼は,苦しみ,み悶,彼は苦しみ悶えていた。
み,金を,惜しみ,みな,彼は金を惜しみなく使う。
み,急に,痛み,を覚,彼は急に痛みを覚えた。
さ,で非,難さ,れた,彼は義務怠慢で非難された。
さ,彼は,寒さ,に大,彼は寒さに大変敏感だ。
さ,彼は,寒さ,で青,彼は寒さで青ざめていた。
さ,彼は,寒さ,で真,彼は寒さで真っ青になっていた。
み,彼は,楽しみ,みに,彼は楽しみにピアノを弾いている。
み,彼は,楽しみ,みで,彼は楽しみで我を忘れている。
み,しい,痛み,で苦,彼は怪我からくる激しい痛みで苦しんだ。
さ,夏の,暑さ,が好,彼は夏の暑さが好きではない。
さ,と非,難さ,れた,彼は臆病だと非難された。
み,鋭い,痛み,を意,彼は鋭い痛みを意識していた。
さ,って,寒さ,が骨,彼は一人ぼっちになって寒さが骨に染みた。
さ,べの,寒さ,で死,彼はゆうべの寒さで死んだ。
さ,背の,高さ,です,彼はどのくらいの背の高さですか。
さ,はど,さくさ,さに,彼はどさくさにまぎれて行方をくらました。
さ,火の,早さ,で仕,彼はそれを電光石火の早さで仕上げた。
み,れを,楽しみ,みに,彼はそれを楽しみにしている。
み,のを,楽しみ,みに,彼はその翌年外国を旅行するのを楽しみにしていた。
み,トを,楽しみ,みに,彼はその夜のデートを楽しみにしていた。
さ,性の,美しさ,さに,彼はその女性の美しさにうっとりしている。
さ,て慎,重さ,が欠,彼はその決定について慎重さが欠けていた。
み,その,楽しみ,みを,彼はその楽しみを与えられなかった。
さ,どい,暑さ,で健,彼はそのひどい暑さで健康をおかされた。
さ,と非,難さ,れた,彼はそのことについてうそをついたと非難された。
さ,事に,後ろめたさ,めた,彼はそうする事に後ろめたさを感じなかった。
さ,して,若さ,を保,彼はジョギングをして若さを保っている。
み,のを,楽しみ,みに,彼はサマセットの小さな別荘で彼女と週末を過ごすのを楽しみにしていた。
み,とで,楽しみ,みを,彼はコンサートに行くことで楽しみを見出す。
さ,背の,高さ,であ,彼はお父さんと同じくらいの背の高さである。
さ,で非,難さ,れた,彼はあんなに乱雑な報告書を書いたことで非難された。
み,深い,悲しみ,みに,彼はある深い悲しみに苦しんだ。
さ,けの,美しさ,さを,彼はアルプス山脈の夜明けの美しさをぼんやりとたたずんで見ていた。
み,のを,楽しみ,みに,彼はあなたに会うのを楽しみにしている。
さ,台の,長さ,を測,彼は、寝台の長さを測った。
み,のが,楽しみ,みで,彼は、家に行くのが楽しみでした。
み,女の,悲しみ,みは,彼の話で彼女の悲しみはまぎれた。
さ,聞の,広さ,がう,彼の話からその見聞の広さがうかがわれた。
さ,彼の,冷たさ,さが,彼の冷たさが彼の友人を疎遠にさせてしまった。
さ,彼の,良さ,は外,彼の良さは外見では分からない。
さ,娘は,美しさ,さと,彼の娘は美しさと上品さに恵まれていた。
さ,倍の,広さ,だ。,彼の部屋は私の部屋の倍の広さだ。
さ,彼の,美しさ,さは,彼の美しさは言葉では言い尽くされなかった。
み,妻は,悲しみ,みで,彼の非業の死を聞いた時、彼の妻は悲しみで気も狂わんばかりだった。
み,とう,明るみ,みに,彼の秘密の生活がとうとう明るみに出てしまった。
さ,忍耐,強さ,には,彼の忍耐強さには驚いた。
さ,頭の,良さ,は広,彼の頭の良さは広く認められている。
さ,彼の,大きさ,さは,彼の大きさはどのくらいですか。
み,心は,悲しみ,みで,彼の心は悲しみでずたずたになった。
み,心は,苦しみ,みに,彼の心は苦しみに満ちていた。
さ,彼の,重さ,でロ,彼の重さでロープがぴんと張った。
さ,手は,寒さ,で青,彼の手は寒さで青白くなっていた。
み,彼の,弱み,に付,彼の弱みに付け込むのはやめなさい。
さ,彼の,若さ,を考,彼の若さを考慮に入れるべきだ。
さ,彼の,若さ,を考,彼の若さを考慮しなければならない。
さ,彼の,若さ,を考,彼の若さを考慮して、警察は彼を告発しないことに決めた。
さ,活に,空しさ,さを,彼の死は彼らの生活に空しさをもたらした。
み,指に,痛み,が走,彼の指に痛みが走った。
さ,慮の,無さ,には,彼の思慮の無さには驚いた。
さ,験の,無さ,を考,彼の仕事を判断するには経験の無さを考慮すべきだ。
み,調は,悲しみ,み口,彼の口調は悲しみ口調だった。
さ,こと,はくさ,さい,彼の言うことはくさい。
さ,彼の,賢さ,は大,彼の賢さは大したものです。
さ,倍の,大きさ,さだ,彼の家は私の家の３倍の大きさだ。
さ,は着,古さ,れて,彼の衣服は着古されている。
み,には,重み,があ,彼の意見には重みがある。
さ,ーの,悪さ,には,彼のマナーの悪さには参ったよ。
み,トを,楽しみ,みに,彼のプレゼントを楽しみにしているの。
さ,頭の,良さ,に圧,彼に会うたびごとに、彼の頭の良さに圧倒された。
み,言う,強み,があ,彼には富と言う強みがある。
さ,しの,強さ,がな,彼には商売で成功できるだけの押しの強さがない。
さ,には,寒さ,がと,彼には寒さがとてもこたえる。
み,れて,楽しみ,みに,彼には我を忘れて楽しみにふける時間があった。
み,、軽,はずみ,みに,彼にはよくあることだが、軽はずみにその事件を報道した。
み,のが,楽しみ,みだ,彼と会うのが楽しみだなあ。
さ,で粛,清さ,れま,反体制派はすべて旧体制のもとで粛清されました。
さ,箱の,大きさ,さは,箱の大きさは小さいのから大きいのまでまちまちだ。
み,中に,痛み,を感,背中に痛みを感じる。
み,まだ,痛み,ます,背中がまだ痛みます。
み,頃に,痛み,があ,排尿の終わり頃に痛みがあります。
み,時に,痛み,があ,排尿の時に痛みがあります。
さ,納豆,はくさ,さい,納豆はくさいが、美味い。
み,中が,痛み,ます,熱があるので身体中が痛みます。
さ,み勉,強さ,せる,入試のために生徒に詰め込み勉強させる。
さ,幣の,大きさ,さに,入っていたのは紙幣の大きさに切った紙切れだった。
さ,その,美しさ,さと,日本文学は、その美しさと豊かさにもかかわらず、西欧ではまだ不十分にしか知られていない。
さ,て非,難さ,れる,日本人はものの見方が内向的であるとか、国際性が不十分であると言って非難されることが多い。
さ,色の,美しさ,さで,日本は景色の美しさで有名だ。
み,負け,惜しみ,みに,日本の市場が閉鎖的だという非難は、負け惜しみにすぎません。
さ,山は,高さ,３７,日本の最高峰、富士山は高さ３７７６メートルである。
み,のを,楽しみ,みに,日本であなたに会うのを楽しみにしています。
み,動は,はずみ,みが,日がたつにつれて我々の運動ははずみがついた。
さ,のは,暑さ,のた,肉が腐ったのは暑さのためです。
み,いに,憎み,合っ,二人は互いに憎み合っていた。
さ,前の,静けさ,さっ,二人の沈黙はなんなんだ。これが嵐の前の静けさってやつか。
み,達の,苦しみ,みを,難民達の苦しみを救済すべきだ。
み,ちの,苦しみ,みを,難民たちの苦しみを救済するべきだ。
み,きな,楽しみ,みで,読書は彼にとって大きな楽しみです。
み,きな,楽しみ,みで,読書は私の大きな楽しみです。
み,ちに,楽しみ,みを,読書は私たちに楽しみを与える。
